,Unnamed: 0.2,Unnamed: 0.1,Unnamed: 0,number,street,city,district,postcode,latGold,lonGold
2860,6921,6921,6921,S/N,RUA SENADOR SARAZATE,SAO PAULO,SAPOPEMBA,,-23.600565,-46.521922
2861,5030,5030,5030,SN,ESTRADA DO CURUCUTU,SAO PAULO,PARELHEIROS,,-23.87646,-46.633957
2862,9997,9997,9997,313,JAPICHAUA,SAO PAULO,VILA JACUI,,-23.481621,-46.470061
2863,4230,4230,4230,158,RUA CORONEL EUCLIDES MACHADO,SAO PAULO,LIMAO,,-23.508094,-46.686337
2864,9525,9525,9525,309,RUA SABAUDIA,SAO PAULO,VILA MATILDE,,-23.535504,-46.505141
2865,7364,7364,7364,10,DOS LIRIOS,SAO PAULO,SAO RAFAEL,,-23.638449,-46.447187
2866,7495,7495,7495,8,RUA GOLFO DONA CALIFORNIA,SAO PAULO,IGUATEMI,,-23.622459,-46.413492
2867,9523,9523,9523,540,RUA COROATA,SAO PAULO,VILA MATILDE,,-23.537863,-46.501771
2868,9962,9962,9962,49,BATUIRA DO CAMPO,SAO PAULO,ERMELINO MATARAZZO,,-23.478662,-46.494123
2869,4471,4471,4471,105,GABINO EZEIZA,SAO PAULO,JARAGUA,,-23.444259,-46.754445
2870,11168,11168,11168,390,JOSE FRANCISCO BRANDAO,SAO PAULO,CIDADE TIRADENTES,,-23.591013,-46.394671
2871,5031,5031,5031,         2,AMIZADE,SAO PAULO,GRAJAU,,-23.806643,-46.640582
2872,9997,9997,9997,313,JAPICHAUA,SAO PAULO,VILA JACUI,,-23.481621,-46.470061
2873,3733,3733,3733,438,RUA GENERAL LAURO CAVALCANTI DE FARIAS,SAO PAULO,SAO DOMINGOS,,-23.490208,-46.747254
2874,9749,9749,9749,149,GUIRA ACANGATARA,SAO PAULO,CANGAIBA,,-23.498611,-46.527881
2875,5031,5031,5031,         2,AMIZADE,SAO PAULO,GRAJAU,,-23.806643,-46.640582
2876,5033,5033,5033,9953,ESTRADA DE ITAQUAQUECETUBA,SAO PAULO,GRAJAU,,-23.773352,-46.645842
2877,5592,5592,5592,85,RUA GUAMIUNA,SAO PAULO,JABAQUARA,,-23.637697,-46.640545
2878,7859,7859,7859,418,RUA COLONIA DONA GLORIA,SAO PAULO,VILA MARIANA,,-23.585786,-46.626913
2879,4756,4756,4756,862,RUA DOMINGOS AREVALO,SAO PAULO,BRASILANDIA,,-23.445816,-46.694726
2880,9237,9237,9237,100,CRISANTEMO,SAO PAULO,TREMEMBE,,-23.431378,-46.573848
2881,6252,6252,6252,515,RUA JOSE ANTONIO VALADARES,SAO PAULO,SACOMA,,-23.645944,-46.590909
